CountyState,CountyLatLong,CountyName,State,Lat,Long
"ANDERSON County ,TX","ANDERSON County ,TX,31.776932,-95.645795",ANDERSON County ,TX,31.776932,-95.645795
"ANDREW County ,MO","ANDREW County ,MO,39.963744,-94.810595",ANDREW County ,MO,39.963744,-94.810595
"ANDREWS County ,TX","ANDREWS County ,TX,32.342627,-102.713512",ANDREWS County ,TX,32.342627,-102.713512
"ANDROSCOGGIN County ,ME","ANDROSCOGGIN County ,ME,44.191242,-70.170704",ANDROSCOGGIN County ,ME,44.191242,-70.170704
"ANGELINA County ,TX","ANGELINA County ,TX,31.27047,-94.645035",ANGELINA County ,TX,31.27047,-94.645035
"ANNE ARUNDEL County ,MD","ANNE ARUNDEL County ,MD,38.953011,-76.548823",ANNE ARUNDEL County ,MD,38.953011,-76.548823
"ANOKA County ,MN","ANOKA County ,MN,45.329283,-93.2197",ANOKA County ,MN,45.329283,-93.2197
"ANSON County ,NC","ANSON County ,NC,34.905473,-80.187506",ANSON County ,NC,34.905473,-80.187506
"ANTELOPE County ,NE","ANTELOPE County ,NE,42.190245,-98.046518",ANTELOPE County ,NE,42.190245,-98.046518
"ANTRIM County ,MI","ANTRIM County ,MI,44.973044,-85.176909",ANTRIM County ,MI,44.973044,-85.176909
"APACHE County ,AZ","APACHE County ,AZ,35.531322,-109.378321",APACHE County ,AZ,35.531322,-109.378321
"APPANOOSE County ,IA","APPANOOSE County ,IA,40.68061,-92.85771",APPANOOSE County ,IA,40.68061,-92.85771
"APPLING County ,GA","APPLING County ,GA,31.712238,-82.25833",APPLING County ,GA,31.712238,-82.25833
"APPOMATTOX County ,VA","APPOMATTOX County ,VA,37.402489,-78.792953",APPOMATTOX County ,VA,37.402489,-78.792953
"ARANSAS County ,TX","ARANSAS County ,TX,28.076126,-96.963862",ARANSAS County ,TX,28.076126,-96.963862
"ARAPAHOE County ,CO","ARAPAHOE County ,CO,39.62031,-104.332644",ARAPAHOE County ,CO,39.62031,-104.332644
"ARAPAHOE County ,CO","ARAPAHOE County ,CO,39.62031,-104.332644",ARAPAHOE County ,CO,39.62031,-104.332644
"ARCHER County ,TX","ARCHER County ,TX,33.576151,-98.748117",ARCHER County ,TX,33.576151,-98.748117
"ARCHULETA County ,CO","ARCHULETA County ,CO,37.160432,-107.006703",ARCHULETA County ,CO,37.160432,-107.006703
"ARENAC County ,MI","ARENAC County ,MI,43.997336,-83.677393",ARENAC County ,MI,43.997336,-83.677393
"ARKANSAS County ,AR","ARKANSAS County ,AR,34.235414,-91.289104",ARKANSAS County ,AR,34.235414,-91.289104
"ARLINGTON County ,VA","ARLINGTON County ,VA,38.881621,-77.090981",ARLINGTON County ,VA,38.881621,-77.090981
"ARMSTRONG County ,PA","ARMSTRONG County ,PA,40.879052,-79.470389",ARMSTRONG County ,PA,40.879052,-79.470389
"ARMSTRONG County ,TX","ARMSTRONG County ,TX,34.937162,-101.433915",ARMSTRONG County ,TX,34.937162,-101.433915
"AROOSTOOK County ,ME","AROOSTOOK County ,ME,46.819941,-68.476606",AROOSTOOK County ,ME,46.819941,-68.476606
"ASCENSION County ,LA","ASCENSION County ,LA,30.20173,-90.943847",ASCENSION County ,LA,30.20173,-90.943847
"ASHE County ,NC","ASHE County ,NC,36.433967,-81.471839",ASHE County ,NC,36.433967,-81.471839
"ASHLAND County ,OH","ASHLAND County ,OH,40.943559,-82.301773",ASHLAND County ,OH,40.943559,-82.301773
"ASHLAND County ,WI","ASHLAND County ,WI,46.979497,-90.482489",ASHLAND County ,WI,46.979497,-90.482489
"ASHLEY County ,AR","ASHLEY County ,AR,33.156594,-91.753882",ASHLEY County ,AR,33.156594,-91.753882
"ASHTABULA County ,OH","ASHTABULA County ,OH,41.939698,-80.721442",ASHTABULA County ,OH,41.939698,-80.721442
"ASOTIN County ,WA","ASOTIN County ,WA,46.146012,-117.208521",ASOTIN County ,WA,46.146012,-117.208521
"ASSUMPTION County ,LA","ASSUMPTION County ,LA,29.923254,-91.09694",ASSUMPTION County ,LA,29.923254,-91.09694
"ATASCOSA County ,TX","ATASCOSA County ,TX,28.866128,-98.572102",ATASCOSA County ,TX,28.866128,-98.572102
"ATCHISON County ,KS","ATCHISON County ,KS,39.570114,-95.352088",ATCHISON County ,KS,39.570114,-95.352088
"ATCHISON County ,MO","ATCHISON County ,MO,40.423896,-95.477781",ATCHISON County ,MO,40.423896,-95.477781
"ATHENS County ,OH","ATHENS County ,OH,39.303031,-82.12784",ATHENS County ,OH,39.303031,-82.12784
"ATKINSON County ,GA","ATKINSON County ,GA,31.293216,-82.864062",ATKINSON County ,GA,31.293216,-82.864062
